,nonReportChem,Community,Facility,primary_naics,industry,num_reporting
14,COPPER,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
15,COPPER,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,1
16,COPPER,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
17,COPPER,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,1
19,COPPER,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,1
3,COPPER COMPOUNDS,0,ANOPLATE CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
7,COPPER COMPOUNDS,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
18,COPPER COMPOUNDS,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
20,COPPER COMPOUNDS,0,JAMESTOWN ELECTRO PLATING WORKS INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
21,COPPER COMPOUNDS,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
0,COPPER COMPOUNDS,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,1
1,COPPER COMPOUNDS,0,CAYUGA OPERATING CO LLC,221112,Fossil Fuel Electric Power Generation ,1
2,COPPER COMPOUNDS,0,GLOBALFOUNDRIES FAB 8,334413,Semiconductor and Related Device Manufacturing ,1
4,COPPER COMPOUNDS,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,1
5,COPPER COMPOUNDS,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,1
6,COPPER COMPOUNDS,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,1
8,COPPER COMPOUNDS,0,REPUBLIC STEEL -  LACKAWANNA,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,1
9,COPPER COMPOUNDS,0,LOCKHEED MARTIN CORP,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",1
10,COPPER COMPOUNDS,0,ELECTRONIC DEVICES INC,334413,Semiconductor and Related Device Manufacturing ,1
11,COPPER COMPOUNDS,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
12,COPPER COMPOUNDS,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
13,COPPER COMPOUNDS,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
14,COPPER COMPOUNDS,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
15,COPPER COMPOUNDS,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,1
16,COPPER COMPOUNDS,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
17,COPPER COMPOUNDS,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,1
19,COPPER COMPOUNDS,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,1
0,CYANIDE COMPOUNDS,0,ANOPLATE CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
1,CYANIDE COMPOUNDS,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
2,CYANIDE COMPOUNDS,0,PRECIOUS PLATE INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
3,CYANIDE COMPOUNDS,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
4,CYANIDE COMPOUNDS,0,JAMESTOWN ELECTRO PLATING WORKS INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
5,CYANIDE COMPOUNDS,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
